M. Demiral
A. Meret
Emerson Royal
Eric García
Thierry Correia
Douglas Luiz
C. Lenglet
L. Klostermann
S. Umtiti
D. Udogie
E. Dier
M. Edwards
B. Godfrey
H. Mkhitaryan
M. Caicedo
Dani Ceballos
Unai Núñez
A. Wan-Bissaka
M. Thiaw
V. Tsygankov
David Carmo
W. Ndidi
K. Tierney
Juan Bernat
O. Wijndal
J. Bowen
Balde
Pedro Neto
M. Salisu
Jovane Cabral
K. Koné
C. Chukwuemeka
Mário Rui
E. Tapsoba
B. Badiashile
K. Sulemana
M. van de Ven
D. Tadić
Caio Henrique
R. Bentancur
Q. Timber
R. Gravenberch
Fran García
D. Szoboszlai
Renan Lodi
Gonçalo Guedes
L. García
C. Tolisso
Rúben Neves
H. Maguire
Nico González
N. Molina
Luiz Felipe
Trincão
Danilo
T. Ndombele
K. Taylor
S. McTominay
G. Lo Celso
M. Locatelli
K. Volland
Nico Williams
R. Tapia
A. Al Musrati
T. Malacia
N. González
Vitinha
Renato Sanches
F. Pellistri
J. Henderson
A. Maier
B. Kamara
Anderson Talisca
J. Correa
Saúl
E. Cavani
E. Elmas
Reinier
Bruno Guimarães
T. Koopmeiners
Francisco Conceição
A. Mac Allister
David Neres
O. Gloukh
Luiz Henrique
Willian
Y. Bissouma
A. Kramarić
J. Bynoe-Gittens
Gedson Fernandes
Arthur Cabral
L. Trossard
H. Elliott
Florentino
N. Lang
N. Zaniolo
Brahim
H. Ziyech
H. Barnes
Fábio Vieira
K. Diatta
A. Haidara
C. Palmer
Richarlison
D. Frattesi
L. Openda
K. Mitoma
H. Mejbri
K. Kvaratskhelia
M. Kudus
A. Hložek
M. Soulé
T. Almada
S. Diop
E. Hazard
J. David
Beto
Á. Correa
G. Scamacca
Riqui Puig
L. Traoré
K. Schade
Lee Kang In
João Félix
X. Simons
A. Isak
M. Arnautović
João Mário
L. Muriel
Roberto Firmino
Álvaro
L. Jović
R. Kolo Muani
Y. Moukoko
I. Sarr
J. Álvarez
J. Ikoné
K. Adeyemi
C. De Ketelaere
Gonçalo Ramos
D. Malen
E. Nketiah
A. Martial
